State,Program Name,Type
North Carolina,EnergyUnited (Gas) Residential Appliance Rebates Program,Rebate Program
North Carolina,EnergyUnited Commercial Lighting Program,Rebate Program
New York,NYSERDA Bulk Energy Storage Incentive Program,Rebate Program
New York,NYSERDA Retail Energy Storage Incentive Program,Rebate Program
Iowa,Corn Belt Power Cooperative - Commercial and Industrial Loan Program,Loan Program
New Jersey,Renewable Electric Storage Program,Rebate Program
Oklahoma,Oklahoma Natural Gas - Residential efficiency rebates,Rebate Program
Vermont,Burlington Electric Department - Commercial On-Bill Financing Program,Loan Program
Vermont,Burlington Electric Department - Commercial Energy Efficiency Rebate Program,Rebate Program
Wyoming,Black Hills Energy - Residential New Construction Program,Rebate Program
Wyoming,Black Hills Energy (Electric) - Commercial Energy Efficiency Programs,Rebate Program
California,Marin County - Natural Gas Appliance Replacement Rebate Program,Rebate Program
New York,Con Ed Demand Management for Industrial and Commercial Customers,Rebate Program
Oregon,Columbia River PUD - Solar PV Net Metering Rebate,Rebate Program
Pennsylvania,City of Philadelphia - Solar Rebate Program,Rebate Program
Massachusetts,Solar Massachusetts Renewable Target (SMART) Program,Performance-Based Incentive
California,Energy Storage Procurement Target,Energy Storage Target
Massachusetts,Energy Storage Target,Energy Storage Target
New Jersey,Energy Storage Procurement Target,Energy Storage Target
New York,Energy Storage Target,Energy Storage Target
Nevada,Energy Storage Procurement Target,Energy Storage Target
Oregon,Energy Storage Procurement Target,Energy Storage Target
Florida,Florida Keys Electric Cooperative - Solar Loan Program,Loan Program
Minnesota,Brainerd Public Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
Florida,Lakeland Electric - Residential Energy Efficiency Loan Program,Loan Program
Virginia,TVA Energy Right - Commercial Building Revitalization Program,Rebate Program
Alabama,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Mississippi,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Kentucky,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Virginia,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Tennessee,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Georgia,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
North Carolina,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
Wyoming,Wyoming Solar Rights,Solar/Wind Access Policy
Minnesota,Minnesota Power - Business Rebates & Savings,Rebate Program
Minnesota,Xcel Energy - Efficient New Home Construction Rebate Program,Rebate Program
Alabama,Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,Loan Program
Virginia,Renewable Portfolio Standard,Renewables Portfolio Standard
Virginia,Energy Storage Target,Energy Storage Target
Arizona,Community solar,Community Solar Rules
Hawaii,Community-Based Renewable Energy Program,Community Solar Rules
Colorado,Community Solar Gardens and Community Geothermal Gardens,Community Solar Rules
Indiana,CenterPoint Energy - Residential New Construction Rebates,Rebate Program
Maryland,Sales and Use Tax Exemption for Data Center Equipment,Sales Tax Incentive
New Mexico,New Mexico Gas Company - New Home Construction Rebate Program,Rebate Program
Maine,Solar and Wind Energy Property Tax Exemption,Property Tax Incentive
Michigan,Alternative Energy Property Tax Exemption,Property Tax Incentive
Missouri,Evergy Solar Rebate Program,Rebate Program
Missouri,Ameren Missouri Solar Rebate,Rebate Program
Alabama,Electric Transportation Infrastructure Grant Program,Grant Program
Alabama,Electric Vehicle Charging Infrastructure Program,Grant Program
Arizona,Alternative Fuel Vehicle Fee Reduction Program,Personal Tax Deduction
Arizona,Alternative Fuel Vehicles Tax Exemption,Personal Tax Exemption
California,Clean Transportation Program,Grant Program
California,California Electric Vehicle Infrastructure Project (CALeVIP),Rebate Program
California,California Capital Access Program (CalCAP),Loan Program
California,California Clean Fuel Reward,Rebate Program
California,Clean Vehicle Rebate Project (CVRP),Rebate Program
California,Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,Sales Tax Incentive
California,Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project (HVIP),Rebate Program
Colorado,Electric Vehicle Income Tax Credit,Personal Tax Credit
Colorado,Charge Ahead Colorado,Grant Program
Colorado,ALT Fuels Colorado,Grant Program
Colorado,Energy Impact Assistance Fund Grant Program,Grant Program
Colorado,Electric Vehicle Fast-Charging Plazas Program,Grant Program
Colorado,Can Do Colarado eBike Pilot Program,Grant Program
Connecticut,VW Settlement Electric Vehicle Supply Equipment Grants,Grant Program
Connecticut,Connecticut Hydrogen and Electric Automobile Purchase Rebate (CHEAPR),Rebate Program
Delaware,Delaware Clean Vehicle Rebate Program,Rebate Program
Delaware,Electric Vehicle Charging Equipment Rebates,Rebate Program
Georgia,Electric Vehicle Supply Equipment Tax Credit,Personal Tax Credit
Idaho,Electric Vehicle Supply Equipment (EVSE) Program,Grant Program
Idaho,Vehicle Replacement Program,Rebate Program
Illinois,Driving a Cleaner Illinois Program,Grant Program
Connecticut,Electric Vehicle Fee Reduction,Other Incentive
Illinois,Electric Vehicle Fleet Fee Exemption,Other Incentive
Illinois,Electric Bus School District Reimbursement Program,Rebate Program
Indiana,Indiana Volkswagen Mitigation Trust Program,Grant Program
Iowa,Volkswagen Settlement Environmental Mitigation Trust Funding Program,Grant Program
Louisiana,Alternative Fueling Infrastructure Tax Credit (Corporate),Corporate Tax Credit
Louisiana,Alternative Fueling Infrastructure Tax Credit (Personal),Personal Tax Credit
Maine,Efficiency Maine Program Electric Vehicle Grants,Grant Program
Maine,Electric Vehicle Rebate Program,Rebate Program
Maryland,Zero-Emission Vehicle School Bus Transition Grant Program,Grant Program
Maryland,Clean Fuels Incentive Program (CFIP),Grant Program
Maryland,Electric Vehicle Supply Equipment (EVSE) Rebate Program,Rebate Program
Massachusetts,MassEVIP Fleets Charging Program,Grant Program
Massachusetts,MassEVIP Workplace and Fleet Charging Program,Grant Program
Massachusetts,MassEVIP Public Access Charging (PAC) Program,Grant Program
Massachusetts,MassEVIP Multi-Unit Dwelling (MUD) and Educational Campus Charging Program,Grant Program
Massachusetts,MassEVIP DC Fast Charging Program,Grant Program
Massachusetts,MOR-EV,Rebate Program
Massachusetts,MOR-EV Trucks Program,Rebate Program
Michigan,Fuel Transformation Program,Grant Program
Michigan,Charge Up Michigan Program,Grant Program
Minnesota,E-ZPass Minnesota Electric Vehicle Incentive,Other Incentive
Missouri,Volkswagen Trust Electric Vehicle Charging Infrastructure Program,Grant Program
Missouri,Volkswagen Trust Funds - Transit and Shuttle Buses,Grant Program
Montana,Electric Vehicle Tax Credit - Corporate,Corporate Tax Credit
Montana,Electric Vehicle Tax Credit - Personal,Personal Tax Credit
New Jersey,It Pay$ to Plug in Program,Grant Program
New Jersey,Clean Fleet EV Incentive Program,Grant Program
New Jersey,Charge Up New Jersey Program,Rebate Program
New Jersey,Electric Vehicle Tax Exemption,Personal Tax Exemption
New Jersey,Green Pass Discount,Other Incentive
New Jersey,New Jersey Zero Emission Incentive Program,Rebate Program
New Mexico,Alternative Fuel Vehicle Loan Program,Loan Program
New York,VW Funding for Diesel Replacement and EVSE Projects,Grant Program
New York,NYSERDA - Direct Current Fast Charging (DCFC) Program,Grant Program
New York,NYSERDA - Drive Clean Rebate,Rebate Program
New York,NYSERDA - Charge Ready NY,Rebate Program
New York,Electric Vehicle Supply Equipment Rebate Program,Rebate Program
New York,Alternative Fuels and EV-Recharging Property Credit - Personal,Personal Tax Credit
New York,Alternative Fuels and EV-Recharging Property Credit,Corporate Tax Credit
New York,Green Pass Discount,Other Incentive
New York,NYSERDA - New York Truck Voucher Incentive Program,Rebate Program
North Carolina,Clean Fuel Advanced Technology (CFAT) Project,Grant Program
Ohio,Diesel Mitigation Trust Fund,Grant Program
Ohio,Diesel Emissions Reduction Grant Program,Grant Program
Oklahoma,ChargeOK Program,Grant Program
Oklahoma,On-Road Program,Grant Program
Oklahoma,Oklahoma Clean Diesel (DERA) Program,Grant Program
Oklahoma,Clean-Burning Motor Vehicle Fuel Property Tax Credit - Corporate,Corporate Tax Credit
Oklahoma,Clean-Burning Motor Vehicle Fuel Property Tax Credit - Personal,Personal Tax Credit
Oregon,Diesel School Bus Replacement Program,Grant Program
Oregon,Oregon Clean Vehicle Rebate Program,Rebate Program
Pennsylvania,Alternative Fuels Incentive Grant Program (AFIG),Grant Program
Pennsylvania,Truck and Bus Fleet Grant Program,Grant Program
Pennsylvania,Clean Diesel Grant Program,Grant Program
Pennsylvania,Electric Cargo Handling Grant Program,Grant Program
Pennsylvania,DC Fast Charging and Hydrogen Fueling Grant Program,Grant Program
Pennsylvania,Level 2 EV Charging Rebate Program,Rebate Program
Pennsylvania,Onroad Rebate Program for Trucks and Buses,Rebate Program
Pennsylvania,Alternative Fuel Vehicle Rebate Program,Rebate Program
Illinois,ComEd - Distributed Generation Rebates,Rebate Program
Illinois,Ameren Illinois - Customer Generation Rebates,Rebate Program
Rhode Island,Electrify Rhode Island Program,Rebate Program
South Carolina,ConserFund Program,Loan Program
South Dakota,Clean Diesel Grant Program,Grant Program
Texas,Texas Clean Fleet Program,Grant Program
Texas,Texas Clean School Bus Program,Grant Program
Texas,Emission Reduction Incentive Grants Program,Grant Program
Texas,Light-Duty Motor Vehicle Purchase or Lease Incentive Program,Rebate Program
Texas,Governmental Alternative Fuel Fleet Grant Program,Grant Program
Ohio,Alternative Fuel Transportation Program,Loan Program
Utah,Conversion to Alternative Fuel Grant Program,Grant Program
Utah,Workplace EV Charging Funding Assistance Program,Grant Program
Utah,Alternative Fuel Heavy-Duty Vehicle Tax Credit Program,Corporate Tax Credit
Vermont,EVSE Grant Program,Grant Program
Vermont,Diesel Emissions Reduction Grants,Grant Program
Vermont,Mileage Smart Program,Grant Program
Vermont,Electric Vehicle Charging Station Loan Program,Loan Program
Vermont,Vermont New Electric Vehicle Incentive Program,Rebate Program
Virginia,Alternative Fuel School Bus Loan Program,Loan Program
Virginia,CMAQ Incentive Program,Rebate Program
Washington,Green Transportation Capital Grant Program,Grant Program
Washington,Zero-Emission Vehicle Infrastructure Partnerships Program,Grant Program
Washington,Clean Alternative Fuel Commercial Vehicle and Vehicle Infrastructure Tax Credit,Corporate Tax Credit
Washington,"Electric Vehicle Infrastructure Batteries, and Fuel Cells Sales/Use Tax Exemption, Leasehold Tax Exemption",Corporate Tax Exemption
Washington,Clean Alternative Fuel and Plug-in Hybrid Vehicles Sales/Use Tax Exemptions,Corporate Tax Exemption
Wisconsin,VW Mitigation Program,Grant Program
New York,Offshore Wind Standard,Renewables Portfolio Standard
Oregon,Solar + Storage Rebate Program,Rebate Program
Alaska,Alaska Power and Telephone - AMP-UP Program,Rebate Program
Alaska,Chugach Electric - Residential EV Charging Program,Rebate Program
Alaska,Chugach Electric - Commercial EV Charging Program,Rebate Program
Alaska,Chugach Electric - EV Workplace Charging Program,Rebate Program
Alaska,Chugach Electric - EV Hotel Charging Program,Rebate Program
Alaska,Chugach Electric - Fleet EV Charging Program,Rebate Program
Arizona,Arizona Public Service - Take Charge AZ Pilot Program,Rebate Program
Arizona,Salt River Project - Business EV Charger Rebate,Rebate Program
Arizona,Tucson Electric Power - Home EV Chargers Rebate,Rebate Program
Arizona,Tucson Electric Power - Smart EV Charging Program,Rebate Program
Arkansas,Entergy Arkansas - eTech Program,Rebate Program
California,Alameda Municipal Power - Electric Vehicle Rebate Program,Rebate Program
California,Anaheim Public Utilities - Personal Use EV Charger Rebates,Rebate Program
California,Anaheim Public Utilities - Public Access EV Charger Rebate,Rebate Program
California,Anaheim Public Utilities - EV Fleet Charger and Infrastructure Rebate,Rebate Program
California,Azusa Light & Water - EV Charger Rebate,Rebate Program
California,Burbank Water and Power - Electric Vehicle Charger Rebate,Rebate Program
California,Glendale Water and Power - Electric Vehicle Charging Station Rebate Program,Rebate Program
California,LADWP - Charge up LA Electric Vehicle Charger Rebate Program,Rebate Program
California,LADWP - Charge Up LA Used Electric Vehicle Program,Rebate Program
California,PG&E - EV Fleet Program,Rebate Program
California,PG&E - EV Fast Charge Program,Rebate Program
Colorado,Colorado Appliance and Equipment Energy Efficiency Standards,Appliance/Equipment Efficiency Standards
Hawaii,Hawaii Appliance and Equipment Energy Efficiency Standards,Appliance/Equipment Efficiency Standards
Nevada,Nevada Appliance and Equipment Energy Efficiency Standards,Appliance/Equipment Efficiency Standards
California,Pasadena Water and Power - Residential Electric Vehicle and Charger Incentive Program,Rebate Program
California,Pasadena Water and Power - Commercial Charger Incentive Program,Rebate Program
California,SMUD - Commercial Electric Vehicle Incentive Program,Rebate Program
California,SMUD - Commercial Fleet Pilot Program,Rebate Program
California,SMUD - Residential EV Incentive,Rebate Program
Connecticut,Connecticut Green Energy Building Solutions,Green Building Incentive
Virginia,Green Job Creation Tax Credit,Industry Recruitment/Support
California,SDG&E - Power Your Drive Program,Rebate Program
California,SDG&E - Champions for Clean Air Program,Rebate Program
California,SCE - Charge Ready Program,Rebate Program
Colorado,Black Hills Energy - Ready EV Electric Vehicle Charging Rebate,Rebate Program
Colorado,Gunnison County Electric - Electric Vehicle Rebates,Rebate Program
Colorado,Holy Cross Energy - EV Charger Incentives,Rebate Program
Colorado,San Isabel Electric Association - Electric Vehicle Incentives,Rebate Program
Connecticut,Groton Utilities - Electric Vehicle Rebate Program,Rebate Program
Connecticut,Norwich Public Utilities - Electric Vehicle Rebates,Rebate Program
Delaware,Delaware Electric Cooperative - Beat the Peak With Electric Vehicles,Rebate Program
Florida,Duke Energy - Park and Plug Program,Rebate Program
Florida,Kissimmee Utility Authority - Electric Vehicle Rebate Program,Rebate Program
Florida,Orlando Utilities Commission - Electric Vehicle Rebate Program,Rebate Program
Georgia,Georgia Power - Residential Electric Vehicle Charger Program,Rebate Program
Georgia,Georgia Power - Business EV Charger Plus Rebate Program,Rebate Program
Idaho,Idaho Power - EVSE Rebate Program,Rebate Program
Indiana,Indiana Michigan Power - Residential Electric Vehicle Charging Rebate,Rebate Program
Indiana,Indiana Michigan Power - Charge Point Program,Rebate Program
Iowa,Alliant Energy - Commercial/Community/Multifamily Electric Vehicle Charging Program,Rebate Program
Iowa,Alliant Energy - Residential Electric Vehicle Charging Rebate Program,Rebate Program
Iowa,MidAmerican Energy - Residential Electric Vehicle Rebate Program,Rebate Program
Iowa,MidAmerican Energy - Commercial Electric Vehicle Charger Rebate Program,Rebate Program
Louisiana,Entergy (Louisiana and Gulf States) - eTech Program,Rebate Program
Louisiana,AEP (SWEPCO) - Residential EV Charging Rebate Program,Rebate Program
Maryland,Delmarva - EVsmart,Rebate Program
Maryland,PEPCO - EVsmart,Rebate Program
Maryland,Potomac Edison - EV Driven Program,Rebate Program
Maryland,Baltimore Gas and Electric - EVsmart Program,Rebate Program
Massachusetts,Braintree Electric Light Department - Bring Your Own Charger Program,Rebate Program
Massachusetts,Eversource - Commercial Electric Vehicle Charging Program,Rebate Program
Massachusetts,Eversource - EV Home Charger Demand Response Program,Rebate Program
Massachusetts,National Grid (Electric) - Electric Vehicle Charging Station  Program,Rebate Program
Massachusetts,HELPS EV Charger Program,Rebate Program
Michigan,Consumers Energy - PowerMIDrive Program,Rebate Program
Michigan,DTE Energy (Electric) - Charging Forward Program,Rebate Program
Michigan,Indiana Michigan Power - EV Incentive,Rebate Program
Michigan,Lansing Board of Water and Light - Plug-in Electric Vehicle Rebates,Rebate Program
Minnesota,Connexus Energy - Electric Vehicle Incentive Program,Rebate Program
Minnesota,Dakota Electric Association - Residential EV Charger Rebate,Rebate Program
Minnesota,Lake Region Electric Cooperative - ChargeWise Program,Rebate Program
Minnesota,Otter Tail Power - EVSE Rebate Program,Rebate Program
Minnesota,Runestone Electric Association - EVSE Rebate Program,Rebate Program
Mississippi,Entergy Mississippi - eTech Program,Rebate Program
Missouri,Ameren Missouri - Charging Station Incentives for Business,Rebate Program
Vermont,Stowe Electric - Electric Vehicle Purchase Rebate,Rebate Program
Vermont,Stowe Electric - Public EV Charging Station Rebate,Rebate Program
Vermont,Stowe Electric - Electric Lawnmowers,Rebate Program
Vermont,Stowe Electric - Electric Bicycles,Rebate Program
Vermont,Vermont Electric Coop - EV Charging Station Bill Credit,Other Incentive
Vermont,Vermont Electric Coop - Electric Vehicle Purchase Bill Credit,Rebate Program
Vermont,Vermont Electric Coop - Electric Forklift Bill Credit,Rebate Program
Vermont,Vermont Electric Coop - Electric Lawnmower Bill Credit,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Vehicle Purchase Rebate,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Vehicle Charging Station Rebate,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Lawnmower Rebate,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Bicycle and Retrofit Kit Rebate,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Golf Cart Rebate,Rebate Program
Vermont,Vermont Public Power Supply Authority - Electric Forklift Rebate,Rebate Program
Virginia,Dominion Virginia Energy - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Alliant Energy - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Barron Electric Cooperative - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Chippewa Valley Electric Cooperative - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Clark Electric Cooperative - Electric Vehicle Charging Station Rebate,Rebate Program
North Carolina,Energy United - Residential Heat Pump Rebate,Rebate Program
North Carolina,Randolph EMC - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,East Central Energy - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Madison Gas & Electric - Electric Vehicle Charger Leasing Program,Leasing Program
Wisconsin,Pierce Pepin Coop - Electric Vehicle Charging Station Rebate,Rebate Program
Wisconsin,Price Electric Cooperative - Electric Vehicle Charging Station and Efficiency Rebates,Rebate Program
Wisconsin,Riverland Energy Cooperative - Electric Vehicle Charging Station Rebate,Rebate Program
Washington,Pacific Power - Electric Mobility Grants,Grant Program
Ohio,American Electric Power Electric Vehicle Charging Station Rebates,Rebate Program
Oklahoma,Public Service Company of Oklahoma Electric Car Charger Rebate,Rebate Program
Oregon,Central Lincoln PUD Electric Vehicle Charging Station Rebate Program,Rebate Program
Hawaii,Electric Vehicle Charging Station Rebate Program,Rebate Program
Oregon,Emerald PUC Electric Vehicle Rebate Program,Rebate Program
Oregon,Eugene Water & Electric Board - Electric Vehicle Charging Station Smart Charge Program,Rebate Program
Oregon,Portland General Electric (PGE) - Residential EV Charging Pilot Program,Rebate Program
Oregon,Portland General Electric (PGE) - EV Charging Station Commercial & Multifamily Rebate Program,Rebate Program
Pennsylvania,Duquesne Light Company - PEV Bill Credit Program,Rebate Program
Pennsylvania,PECO - EV Rebate Program,Rebate Program
Rhode Island,National Grid - EV Charging Station program,Other Incentive
Nebraska,Omaha Public Power District - Electric Vehicle Program,Rebate Program
Nebraska,Southern Public Power District - Electric Vehicle Incentives,Rebate Program
Nevada,Nevada Energy - Residential Electric Vehicle Charging Incentive,Rebate Program
Nevada,Nevada Energy - Business Electric Vehicle Charging Incentives,Rebate Program
New Hampshire,New Hampshire Electric Cooperative - Electric Vehicle Rebates,Rebate Program
Missouri,Ameren Missouri - Charge Ahead Electric Vehicles Program,Rebate Program
New York,Central Hudson - Electric Vehicle Infrastructure Make-Ready Program,Rebate Program
New York,Consolidated Edison - Electric Vehicle Fast Charging Per-Plug Incentive,Rebate Program
New York,Consolidated Edison - SmartCharge New York,Rebate Program
New York,National Grid - DCFC Per-Plug Incentive Program,Rebate Program
New York,National Grid - Electric Vehicle Charging Station Make-Ready Program,Rebate Program
South Carolina,Duke Energy - EV Charging Rebate/Tariff Program,Rebate Program
Tennessee,Knoxville Utilities Board - EV Charging station Rebate Program,Rebate Program
Texas,Austin Energy - EV Charging Station Rebate Program,Rebate Program
Texas,Austin Energy - Multifamily EV Charging Station Rebate Program,Rebate Program
Texas,Austin Energy - Workplace EV Charging Station Rebate Program,Rebate Program
Texas,Entergy Texas - EV Charging Station Rebate Program,Rebate Program
Texas,SWEPCO - EV Residential Charging Station Rebate Program,Rebate Program
Texas,United Cooperative Services - EV Charging Station Rebate Program,Rebate Program
Utah,Rocky Mountain Power - EV Charging Station Grant and Rebate Program,Rebate Program
Vermont,Burlington Electric Department EV Charging Station Loan Program,Loan Program
Vermont,Burlington Electric - Workplace EV Charging Station Rebate Program,Rebate Program
Vermont,Burlington Electric Department - Residential EV Charging Station Rebate Program,Rebate Program
Vermont,Burlington Electric Department - Electric Vehicle Rebate Program,Rebate Program
Vermont,Green Mountain Power EV Charging Station Program,Rebate Program
Vermont,Green Mountain Power EV Rebate Program,Rebate Program
New Mexico,PNM EV Charger Rebate Program,Rebate Program
Missouri,Volkswagen Trust School Bus Program,Grant Program
Connecticut,Diesel Emissions Mitigation Program,Grant Program
New York,New York State Electric and Gas - Electric Vehicle Make-Ready Program,Rebate Program
New York,Orange and Rockland Utilities - Electric Vehicle Make-Ready Program (POWERREADY),Rebate Program
New York,PSEG Long Island - EV Make Ready Program,Rebate Program
New York,PSEG Long Island - Direct Current Fast Charging Incentive,Rebate Program
New York,Rochester Gas and Electric - Electric Vehicle Charger Make-Ready Program,Rebate Program
North Carolina,Cape Hatteras Electric Cooperative - ChargePoint Electric Vehicle Charger Residential Rebate,Rebate Program
North Carolina,Duke Energy - EV School Bus Program,Rebate Program
Maryland,Resilient Maryland Program,Grant Program
Oregon,Solar Within Reach,Rebate Program
New Jersey,Successor Solar Incentive (SuSI) Program - Administratively Determined Incentive,Performance-Based Incentive
South Carolina,Renewable Energy and Energy Storage Property Tax Exemption,Property Tax Incentive
Iowa,Energy Infrastructure Revolving Loan Program,Loan Program
Maryland,Clean Energy Loan Program (Local Option),Loan Program
Connecticut,Energy Storage Target,Energy Storage Target
New Mexico,2021 Sustainable Building Tax Credit (Corporate),Corporate Tax Credit
New Mexico,2021 Sustainable Building Tax Credit (Personal),Personal Tax Credit
Oklahoma,Electric Vehicle Tax Credit,Personal Tax Credit
New Mexico,Community Solar Program,Community Solar Rules
California,Technology and Equipment for Clean Heating (TECH) Initiative,Rebate Program
California,Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,Rebate Program
California,Enhanced Community Renewables Program,Community Solar Rules
Oregon,Ashland Electric Utility - New Construction Residential Energy Efficiency Rebate Program,Rebate Program
Oregon,OTEC - Commercial Energy Efficiency Rebate Program,Rebate Program
Virginia,Shared Solar Program,Community Solar Rules
Virginia,Multi-family shared solar program,Community Solar Rules
New Jersey,Community Solar Energy Pilot Program,Community Solar Rules
Maryland,Community Solar Energy Generation System Pilot Program,Community Solar Rules
Minnesota,Community Solar Gardens,Community Solar Rules
North Carolina,Randolph EMC - ElecTel Energy Efficiency Loan Program,Loan Program
Pennsylvania,PPL Electric Utilities - Business Incentive Program,Rebate Program
Illinois,Improvement Valuation of Commercial Solar Energy Systems,Property Tax Assessment
Illinois,Community Renewable Generation Project Rules,Community Solar Rules
Illinois,Adjustable Block Program (Illinois Shines),Solar Renewable Energy Credit Program
Illinois,Illinois Solar for All Program,Solar Renewable Energy Credit Program
Delaware,DEMEC Member Utilities - Efficiency Smart Residential Program,Rebate Program
Delaware,DEMEC Member Utilities - Efficiency Smart Business Program,Rebate Program
Rhode Island,Community Remote Net Metering Program,Community Solar Rules
New York,NYSERDA -  Buildings of Excellence Competition For Demonstration Projects  (RFP 3925 – Rd3),Grant Program
New York,NYSERDA – Buildings of Excellence Early Design Support  (RFP 3925 – D),Grant Program
New York,NYSERDA - New Construction - Housing,Grant Program
Oregon,EWEB - Commercial Energy Efficiency Loan Program,Loan Program
New York,Community Distributed Generation,Community Solar Rules
Connecticut,Non-Residential Renewable Energy Solutions,Net Metering
Minnesota,Minnkota Power Cooperative - PowerSaves Residential Rebate Program,Rebate Program
Nebraska,Nebraska Public Power District - Go EV,Rebate Program
Pennsylvania,PECO - Commercial Charger Rebate Program,Rebate Program
Connecticut,Shared Clean Energy Facility (SCEF) Program,Community Solar Rules
Hawaii,Community Renewable Energy Program,Community Solar Rules
Maine,Maine Community Solar,Community Solar Rules
New Hampshire,New Hampshire Community Solar Rules,Community Solar Rules
Massachusetts,Massachusetts Community Renewable Energy - Neighborhood Net Metering,Community Solar Rules
New Jersey,New Jersey Community Solar Rules - Remote Net Metering,Community Solar Rules
Oregon,Oregon Community Solar Program,Community Solar Rules
Delaware,Delaware - Community Solar Rules,Community Solar Rules
Louisiana,Louisiana Community Solar - Net Metering and Distributed Generation,Community Solar Rules
Washington,Washington Community Solar Program,Community Solar Rules
North Carolina,North Carolina Community Solar Rules,Community Solar Rules
Louisiana,City of New Orleans - Community Solar Rules,Community Solar Rules
Vermont,Community Renewable Energy Program,Community Solar Rules
Massachusetts,Mass Save - Residential New Home Construction Incentives,Rebate Program
Colorado,Boulder County - Partners for a Clean Environment (PACE) rebates,Rebate Program
New Mexico,New Solar Market Development Tax Credit,Personal Tax Credit
Texas,Pedernales Electric Cooperative Community Grants,Grant Program
Georgia,ACE Georgia - Business Loan Program,Loan Program
Texas,Oncor Electric Delivery - Commercial Solar Program,Rebate Program
New Jersey,Successor Solar Incentive (SuSI) Program - Competitive Solar Incentive,Performance-Based Incentive
Virginia,Dominion Energy Virginia - EV Charger Rewards,Rebate Program
Florida,Orlando Utilities Commission - Efficiency Delivered®,Rebate Program
Alabama,Alabama Power - Smart Thermostat Reimbursement,Rebate Program
Pennsylvania,Cooking in Healthy Electrified Commercial Kitchens (CHECK) Program,Rebate Program
Iowa,Linn County Rural Electric Cooperative - Commercial (>75KW) Energy Efficiency Rebate Program,Rebate Program
Alabama,Alabama Power - Net Billing,Net Metering
Colorado,Sales Tax Exemption for Energy Storage Systems,Sales Tax Incentive
Colorado,Tax Credit for Residential Energy Storage Systems,Personal Tax Credit
California,Test,Energy Standards for Public Buildings
New Hampshire,Low-Moderate Income Solar Renewable Energy Grant,Grant Program
Massachusetts,Wakefield Municipal Gas & Light Department Solar Rebate Program,Rebate Program
Massachusetts,Shrewsbury Electric & Cable Operations Solar Rebate Program,Rebate Program
Colorado,Sustainable Rebuilding Program,Grant Program
Massachusetts,Town of Ipswich Electric Light Department Solar PV Rebate Program,Rebate Program
Colorado,Sustainable Rebuilding Program,Loan Program
Maine,Efficiency Maine Electric Vehicle Rebate Program (Duplicate Entry),Rebate Program
Arkansas,Level 2 EVSE Rebate Program,Rebate Program
Maine,Energy Storage Sales and Use Tax Reimbursement,Sales Tax Incentive
New Hampshire,Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program,Rebate Program
New York,New York Community Solar Program,Community Solar Rules
Vermont,Construction and Building Performance Rebate Programs,Rebate Program
Vermont,Commercial Appliance Rebate Programs,Rebate Program
Vermont,Electric Vehicle Workplace Charging Station Loan Program,Loan Program
New Hampshire,Clean Energy Fund,Loan Program
Georgia,Georgia Power - Energy Assistance for Savings & Efficiency (EASE),Rebate Program
Alabama,Energy-Efficient Retrofits Program,Grant Program
Alabama,Advanced Bus and Clean (ABC) Transportation Program (Duplicate Entry),Grant Program
Arkansas,Advanced Bus and Clean (ABC) Transportation Program,Grant Program
Arkansas,Reduce Emissions from Diesels (Go RED!) Program,Grant Program
Arkansas,Clean Fuels Program,Grant Program
Arkansas,Level 2 EVSE Rebate Program (Duplicate Entry),Rebate Program
Georgia,GaDER School Bus Retrofit Program,Grant Program
Iowa,Iowa Energy Center Grant Program,Grant Program
Massachusetts,Diesel Emissions Reduction Act (DERA) Electric Solicitation Grant,Grant Program
New Hampshire,New Hampshire State Clean Diesel Program,Grant Program
Vermont,Multiunit Dwelling Electric Vehicle Charging Grant,Grant Program
New Jersey,EV Tourism Program,Grant Program
New Jersey,PSE&G Electric Vehicle Charging Program,Rebate Program
Pennsylvania,Philadelphia Gas Works - Commercial Incentives Program,Rebate Program
California,Modesto Irrigation District - Electric Vehicle  Charger Rebate Program,Rebate Program
