Net generation for all sectors,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2022&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,
Vermont : other gases,thousand megawatthours,ELEC.GEN.OOG-VT-99.A,--
Vermont : nuclear,thousand megawatthours,ELEC.GEN.NUC-VT-99.A,--
Vermont : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-VT-99.A,1539
Vermont : other renewables,thousand megawatthours,ELEC.GEN.AOR-VT-99.A,934
Vermont : wind,thousand megawatthours,ELEC.GEN.WND-VT-99.A,340
Vermont : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VT-99.A,192
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,192
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--
Vermont : geothermal,thousand megawatthours,ELEC.GEN.GEO-VT-99.A,--
Vermont : biomass,thousand megawatthours,ELEC.GEN.BIO-VT-99.A,403
Vermont : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-VT-99.A,347
Vermont : other biomass,thousand megawatthours,ELEC.GEN.WAS-VT-99.A,57
Vermont : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-VT-99.A,--
Vermont : other,thousand megawatthours,ELEC.GEN.OTH-VT-99.A,3
Vermont : all solar,thousand megawatthours,ELEC.GEN.TSN-VT-99.A,430
Vermont : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-VT-99.A,239
Vermont : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VT-99.A,192
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,192
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--
Middle Atlantic,,ELEC.GEN..A,
Middle Atlantic : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MAT-99.A,424194
Middle Atlantic : coal,thousand megawatthours,ELEC.GEN.COW-MAT-99.A,12835
Middle Atlantic : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MAT-99.A,504
Middle Atlantic : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MAT-99.A,0
Middle Atlantic : natural gas,thousand megawatthours,ELEC.GEN.NG-MAT-99.A,230740
Middle Atlantic : other gases,thousand megawatthours,ELEC.GEN.OOG-MAT-99.A,739
Middle Atlantic : nuclear,thousand megawatthours,ELEC.GEN.NUC-MAT-99.A,131165
Middle Atlantic : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MAT-99.A,31229
Middle Atlantic : other renewables,thousand megawatthours,ELEC.GEN.AOR-MAT-99.A,16047
Middle Atlantic : wind,thousand megawatthours,ELEC.GEN.WND-MAT-99.A,8076
Middle Atlantic : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MAT-99.A,4141
Middle Atlantic : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MAT-99.A,4141
Middle Atlantic : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MAT-99.A,--
Middle Atlantic : geothermal,thousand megawatthours,ELEC.GEN.GEO-MAT-99.A,--
Middle Atlantic : biomass,thousand megawatthours,ELEC.GEN.BIO-MAT-99.A,3830
